X	Y	MACH	TEMP	Pressure
-0.1048	0.7584	0.8293	3234.9919	10.3178
-0.0917	0.7558	0.8499	3227.7021	10.1255
-0.0786	0.7535	0.8708	3220.1976	9.9309
-0.0655	0.7516	0.8918	3212.4759	9.7342
-0.0524	0.7501	0.9131	3204.5346	9.5354
-0.0393	0.7489	0.9345	3196.3714	9.3347
-0.0262	0.7480	0.9561	3187.9841	9.1325
-0.0131	0.7475	0.9780	3179.3706	8.9288
0.0000	0.7473	1.0000	3170.5285	8.7239
0.0000	0.7473	1.0000	3170.5285	8.7239
0.0072	0.7474	1.0099	3166.4900	8.6317
0.0144	0.7475	1.0199	3162.4050	8.5393
0.0216	0.7476	1.0300	3158.2737	8.4467
0.0288	0.7479	1.0400	3154.0958	8.3540
0.0359	0.7482	1.0501	3149.8713	8.2612
0.0431	0.7486	1.0603	3145.6003	8.1683
0.0503	0.7490	1.0705	3141.2827	8.0753
0.0575	0.7495	1.0807	3136.9185	7.9822
0.0647	0.7501	1.0910	3132.5076	7.8891
0.0719	0.7508	1.1013	3128.0500	7.7960
0.0791	0.7515	1.1116	3123.5458	7.7029
0.0863	0.7523	1.1220	3118.9949	7.6099
0.0935	0.7532	1.1325	3114.3972	7.5169
0.1007	0.7541	1.1429	3109.7529	7.4239
0.1078	0.7551	1.1535	3105.0619	7.3311
0.1150	0.7562	1.1640	3100.3242	7.2383
0.1222	0.7573	1.1746	3095.5398	7.1457
0.1294	0.7586	1.1852	3090.7087	7.0533
0.1366	0.7599	1.1959	3085.8309	6.9610
0.1438	0.7612	1.2066	3080.9064	6.8690
0.1510	0.7627	1.2174	3075.9352	6.7771
0.1582	0.7642	1.2282	3070.9174	6.6855
0.1654	0.7658	1.2390	3065.8529	6.5941
0.1725	0.7674	1.2499	3060.7417	6.5030
0.1797	0.7692	1.2608	3055.5838	6.4122
0.1869	0.7710	1.2718	3050.3792	6.3218
0.1941	0.7729	1.2827	3045.1279	6.2316
0.1941	0.7729	1.2827	3045.1415	6.2318
0.2707	0.7934	1.3836	2995.7565	5.4377
0.3473	0.8139	1.4642	2954.8665	4.8491
0.4239	0.8344	1.5333	2918.9227	4.3787
0.5005	0.8550	1.5946	2886.3949	3.9881
0.5771	0.8755	1.6503	2856.4480	3.6560
0.6537	0.8960	1.7014	2828.5616	3.3689
0.7303	0.9165	1.7490	2802.3831	3.1176
0.8069	0.9371	1.7936	2777.6582	2.8956
0.8835	0.9576	1.8356	2754.1954	2.6979
0.9601	0.9781	1.8753	2731.8455	2.5207
1.0367	0.9986	1.9132	2710.4887	2.3611
1.1133	1.0192	1.9493	2690.0271	2.2165
1.1899	1.0397	1.9838	2670.3787	2.0851
1.2665	1.0602	2.0170	2651.4744	1.9652
1.3431	1.0807	2.0489	2633.2546	1.8554
1.4197	1.1013	2.0796	2615.6678	1.7546
1.4963	1.1218	2.1093	2598.6687	1.6618
1.5729	1.1423	2.1380	2582.2175	1.5761
1.6495	1.1628	2.1657	2566.2787	1.4968
1.7261	1.1834	2.1927	2550.8205	1.4233
1.8027	1.2039	2.2188	2535.8142	1.3550
1.8793	1.2244	2.2442	2521.2340	1.2914
1.9559	1.2449	2.2689	2507.0564	1.2321
2.0325	1.2655	2.2929	2493.2599	1.1767
2.1091	1.2860	2.3164	2479.8248	1.1248
2.1857	1.3065	2.3392	2466.7331	1.0763
2.2623	1.3270	2.3615	2453.9680	1.0307
